recipe_id,recipe_name,category,recipe_url
1,Pecan Cookies,Cookies,
2,Banana Bread,Bread,
3,Focaccia,Bread,
4,Salt Bread,Bread,https://www.kingarthurbaking.com/recipes/salt-bread-shio-pan-recipe
5,Cheddar Biscuts,Bread,
6,Salt Bread,Bread,https://erinscozykitchen.com/recipe/salt-bread-shiopan/
