trial_id,recipe_id,trial_date,hours_spent,outcome,version,rating,adjustment_made,proofing_temp,baking_temp,baking_time,hyration%,crispier,lighter
1,1,2025-11-18,3.5,Failed,1,2,na,na,na,na,na,na,na
2,2,2025-11-18,3.0,Success,1,3,na,na,na,na,na,na,na
3,3,2025-06-17,1.5,Success,1,4,na,na,na,na,na,na,na
4,4,2026-03-17,5.0,Failed,1,2,na,na,na,na,na,na,na
5,5,2025-06-17,0.5,Success,1,5,na,na,na,na,na,na,na
6,4,2026-03-18,5.0,Succsesde,2,5,used instant yeast instead of active yeast,na,na,na,na,na,na
7,6,2026-03-24,4.0,Success,3,5,tried new recipie. bottom was crispy but top wasn't felt undercooked.,na,na,na,na,na,na
8,7,2026-03-30,4.0,Success,4,4,measured out the butter and shape of bread was better,started at 80 then tried lowering it to 70,400,12 mins,20 spritz right before,no,no
